Brand,Variety,Style,Country,Stars
351,926,5,12,medium
11,772,5,32,high
245,40,5,18,medium
114,1970,5,19,medium
297,959,4,33,medium
322,922,5,5,high
55,91,1,5,medium
253,1421,1,14,low
208,729,4,30,medium
192,593,4,14,medium
222,1266,5,17,high
195,210,1,35,low
153,2177,1,26,medium
177,1100,1,4,low
319,2320,5,5,medium
73,820,5,18,medium
192,1650,5,29,high
181,1583,1,19,high
74,2161,5,14,medium
123,1424,5,5,low
330,745,5,37,medium
192,1314,5,14,medium
98,918,5,30,medium
132,953,5,34,medium
23,2143,5,34,medium
8,1240,5,19,high
192,509,4,20,medium
265,925,4,0,low
192,433,4,18,high
128,2342,1,33,medium
159,1015,5,19,medium
155,25,5,29,medium
192,540,4,18,low
219,1530,4,34,medium
231,1775,6,30,medium
288,785,5,18,high
22,1523,5,33,medium
330,1473,1,37,medium
208,1875,5,30,medium
154,933,5,21,medium
329,1365,5,37,low
163,65,1,33,medium
203,1042,1,35,very_low
329,848,5,37,medium
110,2210,5,17,medium
5,677,5,19,high
131,1666,5,14,medium
320,99,5,32,medium
160,1698,5,35,low
160,141,4,35,medium
248,1084,5,30,medium
335,2263,5,32,medium
165,556,1,18,high
108,58,5,19,low
193,148,4,4,low
331,2212,5,19,high
327,1158,1,32,very_low
112,2394,1,18,high
249,696,5,30,high
120,413,4,29,high
52,2056,5,14,low
249,132,5,30,medium
329,549,4,37,low
195,209,1,35,medium
283,1129,1,30,medium
181,1232,5,19,high
43,1299,5,19,medium
206,1725,5,20,medium
7,2053,4,18,medium
296,992,5,11,low
324,744,5,13,medium
192,374,6,35,high
9,1557,5,19,high
192,345,5,33,medium
110,1364,5,17,medium
345,822,1,5,high
31,828,5,19,high
192,1453,5,14,high
11,2230,5,32,high
131,1665,5,14,low
35,1793,5,14,low
195,211,5,35,medium
22,1513,5,11,medium
52,1936,5,14,medium
241,140,5,34,medium
195,1906,4,30,high
195,2302,1,30,high
332,89,5,33,low
13,1415,6,35,low
134,2063,5,29,high
160,2389,6,35,medium
192,2273,5,35,medium
265,950,4,0,medium
74,2162,5,14,medium
346,1914,5,35,high
157,1509,5,33,medium
18,339,4,4,low
168,1265,5,17,high
13,1690,5,35,medium
318,1481,4,32,medium
195,1907,4,30,medium
192,604,5,11,medium
155,19,5,16,low
157,2337,5,33,medium
76,733,5,30,medium
249,1070,1,30,high
136,1351,5,35,low
183,1644,5,29,high
157,71,5,33,low
110,1999,5,17,very_low
243,333,5,35,medium
208,2353,5,30,medium
208,755,5,30,very_low
195,2291,5,30,high
160,2392,6,35,low
311,2329,4,35,medium
60,357,5,19,medium
289,800,5,18,high
192,1804,5,6,medium
192,435,4,18,high
162,1357,1,5,high
346,2237,5,35,high
256,1465,5,14,high
206,1637,5,30,low
192,496,4,5,medium
118,192,5,32,high
192,336,5,18,high
134,2084,5,29,high
192,675,4,18,high
192,717,5,17,high
282,1752,5,17,medium
183,2355,1,18,high
94,1565,1,19,medium
192,175,4,35,medium
249,260,5,30,high
206,1059,4,30,medium
183,399,5,18,low
192,637,4,33,low
124,93,5,5,medium
192,429,4,18,high
110,1625,4,17,medium
162,69,5,5,high
192,452,4,35,medium
192,466,4,18,medium
227,401,5,30,low
327,1169,1,32,medium
157,879,4,33,high
280,1842,4,19,medium
301,1580,5,19,high
159,297,5,19,high
192,1843,4,14,high
327,840,1,32,very_low
330,737,5,37,medium
192,731,1,18,medium
240,1160,1,37,low
327,74,1,32,medium
337,1,5,32,medium
192,456,4,14,medium
39,1069,1,30,high
289,2373,5,18,high
35,2122,6,5,medium
192,1994,4,26,low
245,15,5,18,high
49,1918,1,18,high
110,2068,5,17,high
221,725,5,19,high
330,559,5,37,medium
29,787,4,4,very_low
192,235,1,35,medium
208,163,1,30,high
196,1901,4,30,low
192,1980,5,18,medium
192,1740,1,18,high
192,763,1,18,high
254,363,5,18,high
24,1242,5,37,medium
192,504,4,20,low
89,2376,5,33,low
94,2339,1,19,low
192,462,4,35,low
192,1452,5,14,high
256,1464,5,5,medium
155,1778,5,16,very_low
245,2031,1,18,high
342,149,5,32,medium
261,1923,5,25,medium
77,1315,5,17,medium
113,1718,5,18,very_low
153,2173,1,26,medium
175,948,5,25,medium
204,719,5,32,high
38,838,5,16,medium
4,2346,5,32,high
157,533,4,33,medium
330,1285,5,37,medium
311,1528,5,35,low
52,2059,5,14,medium
155,26,5,16,medium
157,963,5,3,medium
16,1147,5,22,medium
192,484,4,35,medium
6,1262,5,17,high
195,223,1,35,high
157,1538,5,33,medium
153,2175,4,26,medium
206,1968,4,30,medium
192,676,4,18,high
183,393,5,18,high
192,176,4,35,medium
319,67,1,32,medium
70,1854,1,14,medium
120,1951,1,29,medium
157,991,4,21,high
208,1967,5,30,medium
192,1807,5,6,medium
94,1577,1,19,high
74,201,1,14,medium
157,1629,5,33,medium
11,813,5,32,medium
162,2070,1,5,low
300,714,1,35,medium
192,2099,5,35,medium
317,2363,5,19,low
208,265,5,30,medium
316,702,6,35,very_low
162,1797,5,5,high
249,259,5,30,medium
248,2181,5,30,medium
271,239,1,32,medium
208,1114,4,30,medium
192,501,4,35,medium
339,946,4,4,low
120,414,4,29,high
192,1976,5,11,medium
330,1112,5,37,low
249,2180,5,30,medium
15,985,5,15,medium
336,738,5,32,low
290,418,5,33,high
110,1255,4,17,high
157,1597,5,33,low
116,1837,1,5,low
6,1751,4,17,medium
157,966,5,3,medium
133,1027,5,23,low
110,1272,5,17,high
101,1658,5,30,high
120,573,5,29,high
168,872,4,17,medium
74,2246,5,14,low
177,1495,5,4,low
311,865,4,35,medium
342,1719,5,32,medium
320,71,5,32,medium
192,597,5,14,high
3,1287,4,37,medium
249,2115,5,30,high
84,2026,4,5,medium
55,76,1,5,high
192,700,5,29,low
153,1995,5,26,very_low
332,267,5,33,medium
157,943,5,21,medium
195,62,5,35,high
336,2089,1,32,medium
308,2236,5,18,medium
318,1211,1,32,high
339,944,4,4,very_low
263,360,5,5,high
195,1132,1,5,low
341,2113,5,32,high
268,351,4,29,low
206,159,5,30,medium
192,1651,5,29,medium
13,2223,1,35,low
31,1534,5,19,high
249,293,5,30,medium
195,270,5,30,high
40,851,1,30,high
329,995,5,37,medium
235,1692,5,35,very_low
110,1754,5,17,medium
248,1377,5,30,high
4,664,5,32,medium
139,2038,2,17,high
192,1912,1,18,high
289,2376,5,18,high
183,136,1,18,high
192,520,4,18,medium
155,1589,5,19,low
327,2331,5,32,low
192,385,1,35,medium
190,814,1,18,high
206,1467,5,30,medium
34,2110,5,32,medium
243,332,5,35,medium
192,2278,5,35,high
192,1979,5,11,low
195,1899,1,30,low
340,1261,5,17,high
277,410,1,33,high
23,2149,5,34,medium
140,1831,5,20,low
181,1563,1,19,high
157,1601,5,33,medium
181,1573,5,19,high
6,1243,4,17,medium
63,1433,4,0,low
154,1498,5,33,high
192,1966,5,15,medium
192,2008,1,35,low
147,1630,1,33,very_low
120,575,5,29,high
92,1784,6,30,medium
192,1715,5,18,medium
162,1657,1,5,medium
195,1898,4,35,high
108,782,5,19,high
214,2370,5,26,high
172,1331,5,35,medium
110,875,4,17,high
6,1870,4,17,medium
192,369,6,35,medium
344,1887,5,32,medium
55,95,5,5,medium
110,1256,5,17,high
84,1141,5,5,medium
192,172,4,35,low
330,1111,5,37,medium
192,2285,5,35,high
59,1753,4,17,medium
131,341,4,33,medium
165,1330,1,18,low
192,1747,5,18,high
150,419,5,5,low
267,2326,5,35,very_low
160,242,1,35,medium
192,1823,1,18,high
179,303,5,34,low
192,412,4,35,low
192,644,1,18,medium
336,2105,1,32,low
122,166,1,14,medium
287,653,5,18,high
208,1131,1,30,high
313,1192,5,17,medium
296,1521,5,15,high
349,1849,1,18,medium
190,2128,1,18,high
153,871,5,26,medium
