Brand,Variety,Style,Country,Stars
305,1485,1,32,0
319,1214,1,32,1
326,120,4,34,0
123,671,7,5,0
159,295,4,19,1
332,340,5,33,0
154,1729,5,21,0
192,1743,1,18,1
192,460,4,11,0
183,2182,1,18,1
330,735,5,37,0
106,105,5,31,0
181,1567,5,19,1
23,2142,5,34,1
228,1431,5,32,0
192,2067,1,18,1
192,444,4,35,0
219,156,4,34,0
192,2009,1,35,0
192,2272,5,35,0
162,1307,5,5,1
19,824,5,5,0
230,1552,5,26,0
192,592,5,18,1
275,1445,4,0,0
51,49,5,32,1
164,2265,5,18,0
120,547,4,29,1
155,1588,5,19,1
206,831,4,30,0
192,1741,1,18,1
192,526,4,35,1
6,1869,4,17,1
158,307,5,35,0
35,2121,6,5,0
330,560,5,37,1
183,1686,1,18,0
192,1742,5,18,1
249,268,5,30,0
192,427,4,18,1
12,2406,5,27,0
343,1835,1,5,0
45,2000,4,35,0
318,138,5,32,1
155,837,4,19,0
160,203,1,35,1
90,59,6,30,0
157,936,5,3,1
208,1131,4,30,1
24,1241,5,37,0
332,1669,5,33,0
16,1340,5,22,0
289,556,5,18,1
131,1667,5,14,0
318,1353,5,37,0
134,1276,5,29,1
168,1292,5,17,1
314,1833,5,32,1
110,2044,5,17,1
291,6,5,35,0
21,981,5,8,0
192,1041,5,29,1
165,2220,1,18,1
161,1374,1,18,1
320,65,5,32,0
208,2019,5,30,0
280,949,4,19,0
160,859,5,18,0
206,1054,5,30,0
254,364,5,35,1
130,997,6,33,0
23,2151,5,34,0
23,2154,5,34,0
181,1560,5,19,1
159,1342,5,19,1
154,1006,5,33,0
192,437,4,18,1
43,1300,5,19,0
183,313,5,29,0
118,51,5,32,1
192,521,4,14,1
214,2371,5,26,1
35,1792,5,5,0
245,1880,5,18,1
192,454,4,35,0
192,639,1,18,0
201,817,5,30,0
74,2090,5,14,1
110,1268,5,17,1
19,85,5,5,0
82,1712,1,35,0
192,492,4,2,1
192,447,4,14,1
183,1182,1,29,1
150,420,1,5,0
192,1220,4,20,0
245,2031,5,18,1
333,1777,1,30,1
192,489,4,6,0
298,1772,6,35,0
59,1767,4,17,1
79,303,5,35,0
249,1199,5,30,1
327,1196,5,32,1
88,2328,4,4,0
168,1281,5,17,1
341,2109,5,32,1
249,694,5,30,1
343,301,5,5,0
192,499,4,29,1
254,1125,5,18,0
120,1355,4,29,0
157,990,5,3,1
319,2137,1,32,0
192,2287,5,16,0
160,896,4,35,0
55,64,1,5,1
192,622,5,14,1
330,779,5,37,0
143,1889,6,5,0
116,678,5,5,1
339,929,5,4,0
206,1639,5,30,0
